Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C14, C16, C18, C4, C6, C8",0402,8,100nF,
"C11, C13, C15, C17, C3, C5, C7, C9",0402,8,4.7uF,
J1,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,Conn_01x05,
"R10, R11, R12, R13, R14, R15, R16, R3, R4, R5, R6, R7, R8, R9",0402,14,0,
R19,0402,1,10k,
"U2, U3, U4, U5, U6, U8, U9",ST_CCLGA-7L_2.8x2.8mm_P1.15mm_H1.95mm,7,ILPS28QSW,
U7,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
